AveragePointsPerGame,AverageMinPerGame
10.871442307692305,26.23830128205128
3.832477203647416,11.780972644376904
20.02129337539432,37.96649842271293
9.45390625,23.942714843749993
6.817157057654074,15.364194831013915
1.744301075268817,8.135967741935483
16.32752777777778,29.970499999999987
29.65924242424242,37.916818181818165
9.565978494623653,19.807204301075274
28.62622222222222,41.63444444444445
8.16431855500821,21.984729064039403
6.820254372019078,20.07732909379968
0.926126126126126,2.8092117117117117
17.375868421052626,33.082868421052616
25.88058510638298,37.15952127659577
47.595,48.05
3.2674342105263157,8.601858552631576
11.744180790960451,22.819802259887012
2.3732270916334657,6.445232403718456
5.437615176151759,22.61485094850948
8.655358490566037,31.800113207547188
20.36709677419354,34.981451612903214
18.242734375000005,40.188203125000015
11.457581227436824,34.86584837545127
22.740143369175623,36.818673835125445
17.59138766519824,36.21966960352424
2.508098918083462,10.354265842349303
14.728842794759819,33.40008733624454
4.5595642201834865,10.262866972477067
3.2814444444444453,16.357111111111113
14.764219858156032,36.1036879432624
14.278,25.81751851851852
13.367716186252775,28.575254988913528
1.4006675567423232,4.93188251001335
23.05316129032258,40.90483870967742
4.696932367149759,19.106787439613527
4.56170243204578,14.676938483547923
7.161628959276017,25.07092760180996
7.42636363636364,17.86660714285714
20.932418300653595,31.72823529411765
35.010000000000005,43.983888888888885
10.755183673469388,29.316469387755095
8.192544080604534,27.777078085642326
13.818815789473687,39.45684210526315
5.42428838951311,12.92988764044943
5.352982171799025,16.89948136142625
2.9879584120983003,13.176294896030244
12.63260563380282,31.579102112676058
